Bib,Zip,Age,Age Group,Gender,First Half,Second Half,Finish,Positive Split,Percent Change,Avg Max Temp,Max Temp,Min Temp,Avg Min Temp,Max Min Temp,Min Min Temp,Avg Mean Temp,Max Mean Temp,Min Mean Temp
805,11238,26,Under 35,M,4540,4692,9232,152,0.033480176,57.61040013,76.6724,44.9924,42.22640007,54.082397,34.6424,49.29265133,64.32365,41.57615
1015,36502,32,Under 35,M,4597,4636,9233,39,0.008483794,74.7689,80.4749,67.5149,55.09490013,67.4249,45.7349,64.29589867,71.66614,57.307404
927,49504,26,Under 35,M,4442,4793,9235,351,0.07901846,56.954601,73.052605,43.9826,38.60060027,49.112602,27.8726,46.78884987,59.841354,36.1451
604,2140,32,Under 35,M,4572,4664,9236,92,0.020122485,53.58109987,70.6091,38.1191,38.4371,49.5491,32.3591,45.31735047,57.821606,36.514095
644,91321,36,35-39,M,4502,4735,9237,233,0.051754776,68.43920033,82.4252,50.6552,44.06719973,52.4552,33.6452,54.498451,68.625206,43.48145
317,22031,26,Under 35,M,4435,4803,9238,368,0.082976325,65.0641998,81.4802,51.960197,47.07019927,59.3402,36.8402,55.1061968,68.8202,43.9277
1231,93401,38,35-39,M,4338,4904,9242,566,0.130474873,62.69810087,78.5561,51.376102,45.61010053,50.9261,35.5361,52.74885053,60.06485,46.321106
4070,63130,33,Under 35,M,4536,4707,9243,171,0.037698413,67.43030167,83.972305,47.2523,47.7443,62.9123,34.1123,57.08204793,71.5373,43.266052
656,2446,31,Under 35,M,4580,4667,9247,87,0.018995633,54.0434002,70.4534,38.0534,38.34739973,51.193398,32.0234,45.4741492,58.314648,36.594646
450,54880,29,Under 35,M,4466,4782,9248,316,0.070756829,50.0149998,66.515,34.385,31.19299987,37.355,17.915,40.10475007,49.302505,30.6275
448,2140,27,Under 35,M,4552,4701,9253,149,0.032732865,53.58109987,70.6091,38.1191,38.4371,49.5491,32.3591,45.31735047,57.821606,36.514095
529,19128,30,Under 35,M,4658,4605,9263,-53,-0.011378274,61.50589953,78.0179,47.867897,43.55990007,56.0579,34.7279,51.77715007,66.062904,42.782898
873,81052,24,Under 35,M,4564,4701,9265,137,0.030017528,74.20759933,88.1276,61.5776,42.2695998,58.247597,34.9376,57.7203504,71.376335,48.606342
377,4294,30,Under 35,M,4569,4697,9266,128,0.028014883,49.80350053,60.669502,36.5495,31.37150013,40.3295,22.2395,39.81299973,48.617,30.977
1502,48390,22,Under 35,M,4577,4689,9266,112,0.024470177,58.05319973,75.477196,44.6972,39.65120013,48.2072,32.3672,47.8761984,58.902203,38.108448
524,21009,36,35-39,M,4413,4854,9267,441,0.099932019,62.9501002,77.2781,51.8981,44.7461,57.1181,36.1481,53.06834947,66.7181,43.280605
427,51579,25,Under 35,M,4417,4852,9269,435,0.098483133,64.5607992,81.204796,52.0448,41.98280013,54.5648,31.9748,52.16780207,68.8448,43.007305
606,76904,36,35-39,M,4504,4765,9269,261,0.05794849,82.7702004,91.29021,72.2102,56.85619893,68.4302,46.740196,68.33119913,79.068954,59.077698
365,60618,31,Under 35,M,4322,4949,9271,627,0.145071726,54.85489953,73.7249,39.5249,41.3969,54.824898,34.1249,46.9238988,62.317398,36.21365
666,44406,28,Under 35,M,4465,4808,9273,343,0.076819709,61.14860047,75.3566,42.7766,42.38659987,54.7466,29.1866,50.3355992,59.666595,37.372852
888,90025,28,Under 35,M,4468,4806,9274,338,0.07564906,68.24060187,79.3886,56.5286,46.23259973,53.0186,36.5486,56.02034873,63.8411,48.256104
439,55114,27,Under 35,M,4555,4719,9274,164,0.036004391,57.30109973,73.4711,44.0411,34.88510013,41.6111,26.4911,45.2846,58.561108,36.0386
1857,94025,25,Under 35,M,4626,4650,9276,24,0.005188067,64.83949973,74.7275,55.1975,45.66349967,53.7575,38.5475,53.70499907,61.872498,46.21625
1147,37405,34,Under 35,M,4584,4692,9276,108,0.023560209,69.75170013,80.5397,54.7097,49.16570027,62.6297,36.9797,57.99020227,69.0197,46.812206
608,1945,36,35-39,M,4451,4826,9277,375,0.08425073,51.66199987,67.19,37.67,38.46800033,47.93,32.36,44.53799967,54.890003,36.256252
298,2118,24,Under 35,M,4318,4961,9279,643,0.148911533,54.2072,70.6172,38.2172,38.5112,51.3572,32.1872,45.63795073,58.47845,36.758453
3583,87111,24,Under 35,M,4487,4792,9279,305,0.067974148,65.63389867,76.1999,55.3199,40.9079,52.8899,28.0499,52.29190007,62.643658,40.52615
364,37209,39,35-39,M,4391,4890,9281,499,0.11364154,69.26210087,81.8861,53.1761,50.88410073,66.946106,33.016098,58.90360133,70.30235,44.528606
961,2472,31,Under 35,M,4622,4667,9289,45,0.009736045,54.0317004,70.4417,38.0417,38.33569987,51.1817,32.0117,45.4624494,58.302944,36.582947
326,2492,26,Under 35,M,4415,4875,9290,460,0.10419026,54.82610013,70.3481,36.5081,38.18810013,52.6181,31.6481,45.6736008,57.774353,35.518097
